0,1,2,3,4,5,,,,,,
4,1676194176,Fri May 01 21:20:56 PDT 2009,NO_QUERY,JudoKickJessie,today was awesome!! body worlds museum was great! love to look @ plastinated bodies! gonna def go back! ,,,,,,
4,1754626186,Sun May 10 06:53:32 PDT 2009,NO_QUERY,mikefelker,@brownymix13 I know!! We'll be around before ya know it though ,,,,,,
0,1986069449,Sun May 31 18:16:25 PDT 2009,NO_QUERY,nkotblee,@jordanknight my sis is sad that ur not in raliegh tomorrow  could u give her a shout out @amygarbo to make her feel better? Please!!,,,,,,
4,1970106366,Sat May 30 02:28:53 PDT 2009,NO_QUERY,Wikivic,"Burning charcoal incense for the first time in years, its so cool when the charcoal crackles into life ",,,,,,
0,1827804493,Sun May 17 11:29:01 PDT 2009,NO_QUERY,dopegirlfresh,@sherealcool good lord. i'm so sorry it wasn't more fun for you.  now i don't feel quite as terrible about missing it.,,,,,,
0,1984764086,Sun May 31 15:45:42 PDT 2009,NO_QUERY,zeet75,Going out with my parents and I just got my camera back from my brother and he deleted my The World We Live In video entry.  Grrr.,,,,,,
0,2266728375,Sun Jun 21 09:00:15 PDT 2009,NO_QUERY,Phoebex_,"argggg, doing science homework.  does anybody know what boyles law is ....",,,,,,
0,2188017804,Mon Jun 15 21:10:00 PDT 2009,NO_QUERY,katwoman1202,Getting ready to have surgery tomorrow. Just realized its past midnight so no more to eat or drink. Boo ,,,,,,
4,2056789494,Sat Jun 06 11:47:50 PDT 2009,NO_QUERY,BreeSymone,@AriesChild getcho sportscaster/ charles barkley LA sports lovin...Hey girl!!!! ,,,,,,
4,1681103157,Sat May 02 13:13:16 PDT 2009,NO_QUERY,auntieali17,@poyntey i quite liked the knitting ladies  quality entertainment,,,,,,
0,2064345407,Sun Jun 07 06:00:25 PDT 2009,NO_QUERY,kennypham,"Leaving for church here soon...and I hope today's a good day :/ Amazing weather, but nobody's making plans with me  I'm bumbed out 'cause",,,,,,
4,2051292381,Fri Jun 05 21:31:50 PDT 2009,NO_QUERY,soccachik5,"@taylorswift13 hey Taylor! Great concert! My sisters and I are  waiting outside to see you and meet you, along with some other fans ",,,,,,
0,2052080781,Fri Jun 05 23:36:14 PDT 2009,NO_QUERY,michxxblc,@Dorin23 yeah!  It's okay.,,,,,,
0,1572904997,Mon Apr 20 22:58:44 PDT 2009,NO_QUERY,jaylen2,@livethelyrics i could've dropped his name. you should be glad i didn't drop his four letter name. OH SNAP. sorry b got a twitter ,,,,,,
4,1823918250,Sat May 16 23:24:53 PDT 2009,NO_QUERY,JULIEDIDWHAT,Dude the stars are gorgeous. Text me ,,,,,,
0,2056253734,Sat Jun 06 10:48:29 PDT 2009,NO_QUERY,rachLOVESmcfly,@peoplefight i were on mcfly secrets about 3 weeks ago ,,,,,,
4,2004491141,Tue Jun 02 08:17:01 PDT 2009,NO_QUERY,TuttiFrutti_,http://twitpic.com/6gtyi - #mcflyforgermany in the trending topics!! ,,,,,,
4,1827593262,Sun May 17 11:02:19 PDT 2009,NO_QUERY,MsBourgeoisie,"@Shadae_B Thanks Shadae  We waiting on you, red or white? We have whatever you like.",,,,,,
0,2001978048,Tue Jun 02 02:43:53 PDT 2009,NO_QUERY,LuckyM08,my computer is broken and i don't know when i'll have the money to fix it ,,,,,,
4,1752750820,Sat May 09 22:52:02 PDT 2009,NO_QUERY,kasmac92,@officialTila who you snugglin with Tila??? ,,,,,,
4,1985788487,Sun May 31 17:46:27 PDT 2009,NO_QUERY,mrs_c_ramirez,On da 405 fwy .. Heading around ucla for a treat ,,,,,,
4,1978833554,Sun May 31 00:37:37 PDT 2009,NO_QUERY,Poidoghomeslice,"The Freshman 15.. psssh, more like the freshman 3! ",,,,,,
0,2261967211,Sat Jun 20 21:39:20 PDT 2009,NO_QUERY,kimberly625,@itszMARYANNE please have that talk with him. and no cellcast tomorrow as i know of. after i convinced my mom to meet her friend at noon. ,,,,,,
4,1992975908,Mon Jun 01 09:37:45 PDT 2009,NO_QUERY,liznieto,@IamNanZ: Yeah! Haha did you read the one about the FML t shirt?! Lol i read those everyday!  &lt,3Liz,,,,,
0,2058874202,Sat Jun 06 15:48:05 PDT 2009,NO_QUERY,madinasalahi,Grrrr. Mom is making me wear flats to promotion instead of converse ,,,,,,
4,1883243506,Fri May 22 08:14:21 PDT 2009,NO_QUERY,mzcara239,its [11:14am] wayyyy to early for me to be up!!!! ,,,,,,
4,2003245358,Tue Jun 02 06:10:11 PDT 2009,NO_QUERY,ValueIntoWords,"@WorkWIthIllness He's reviewing it now - main goal, besides tight, pithy content, is that the resume strategy/focus is 'on point.' ",,,,,,
0,2014152914,Wed Jun 03 00:37:05 PDT 2009,NO_QUERY,Sorabu,Off to High School!  Good morning everyone! ,,,,,,
0,1833940152,Mon May 18 01:01:09 PDT 2009,NO_QUERY,theantidate,I need to get away from everyone. Jaded so fucking jaded  - http://tweet.sg,,,,,,
0,2295478233,Tue Jun 23 07:58:50 PDT 2009,NO_QUERY,john_cats,Heart burn ,,,,,,
4,2049595775,Fri Jun 05 17:09:25 PDT 2009,NO_QUERY,hannah__banana_,"sarah's dance recital! then dont know what after that, so text me ",,,,,,
4,1833727560,Mon May 18 00:14:51 PDT 2009,NO_QUERY,royasmusic,"@PharrellW Awesome! Never been to something like this, I'll try to have my bro get the UCLA tix ",,,,,,
0,2062808631,Sun Jun 07 00:22:10 PDT 2009,NO_QUERY,BBREBISZ,It's raining and I've got race for life ,,,,,,
4,2176446692,Mon Jun 15 03:54:00 PDT 2009,NO_QUERY,marisavasan,"YAY!! LA ZOO WITH MY BBYS &lt;33!! i wish i could use the GPS on #squarespace to get there! TOO BAD I DONT HAVE ONE, WE'LL GET LOST INSTEAD ",,,,,,
0,1833501027,Sun May 17 23:29:25 PDT 2009,NO_QUERY,katoidcelebrity,@DavidArchie I was about to watch your concert here but had to attend some family reunion..sad  I heard it was very successful. Congrats!,,,,,,
0,1835357390,Mon May 18 05:48:15 PDT 2009,NO_QUERY,itsanimesh,My net is still not working..  what the hell is wrong with mtnl.. :-x,,,,,,
0,2069357951,Sun Jun 07 15:43:51 PDT 2009,NO_QUERY,nowayitstayluh,Ah headache ,,,,,,
4,2049781206,Fri Jun 05 17:29:21 PDT 2009,NO_QUERY,FOXXYFARAH,@twittterkingz IT'S ME!!!!! OKAY K K!! IN FULL EFFECT! LOL ,,,,,,
0,2225336100,Thu Jun 18 10:35:45 PDT 2009,NO_QUERY,seachellestar,"AAAAH. Ran out of time on Phantom Hourglass, so I died. Then, as I was about to try and get back to where I was, my battery died  Fail",,,,,,
0,2213582092,Wed Jun 17 15:34:06 PDT 2009,NO_QUERY,tamipants,@PatrickHoban You always go to Chipotle without me.    hmph.,,,,,,
4,1980082674,Sun May 31 05:37:27 PDT 2009,NO_QUERY,MsCalleighBaby,"@Ms_Andews Aww no problem, you looked AMAZING!!!  Glad you had a great time it was great to see you ",,,,,,
4,1563851094,Mon Apr 20 00:33:23 PDT 2009,NO_QUERY,tiadame,@3dnatee please don't tease the people like that... u know they were probably drooling all over ur videos... ,,,,,,
4,1553772223,Sat Apr 18 15:10:09 PDT 2009,NO_QUERY,kdem,@markygk Have more contests ,,,,,,
4,2063786259,Sun Jun 07 04:04:11 PDT 2009,NO_QUERY,colelove,@Soapbox89 no you're not ,,,,,,
4,2012170895,Tue Jun 02 20:11:17 PDT 2009,NO_QUERY,WalkingHorse,@Tipigal Hey! I'm doing great! How exciting for you! I bet you are thrilled! ,,,,,,
4,1964546987,Fri May 29 14:24:38 PDT 2009,NO_QUERY,Moon_Dancing,"Laptop undocked, take home work packed up, walking through the lobby. Well hello weekend, it's nice to see you ",,,,,,
0,1827043778,Sun May 17 09:52:21 PDT 2009,NO_QUERY,abbaproperties,Client chooses another unit for rent at Manila area for her daughter. Update her for other preselling projects ,,,,,,
4,1883244378,Fri May 22 08:14:26 PDT 2009,NO_QUERY,kham19,just scribed to the Prime Minister of Canada's Email list - http://pm.gc.ca/eng/Subscribe.asp . This way I can keep in touch with him  ,,,,,,
4,1470097937,Tue Apr 07 08:20:29 PDT 2009,NO_QUERY,konadora,@mrbushido i &lt,3 the quality! 1280x760 h264 + Eclipse ,,,,,
4,2006369869,Tue Jun 02 11:04:05 PDT 2009,NO_QUERY,karrock,"@alitherunner hehehe, yeah, me too actually -- and I knock Spin Doctors, but I'm no hater, you'll find them both in my last.fm playlist ",,,,,,
0,2241085851,Fri Jun 19 10:31:25 PDT 2009,NO_QUERY,KelChelle,Trying to find the energy to get out of bed. I hate being sick. ,,,,,,
